Product,Price,Discount,Feature 1,Feature 2,Delivery method,Colour
Kona Process 134 (2017) Mountain Bike,"€1,899.00 - €2,105.98",No discount applied,Kona 6061 Aluminum Butted 134mm Travel frame,RockShox Sektor Silver RL 140mm forks,Bulk Tracked Courier Delivery:, Black
Kona Process 111 (2016),"€2,079.62 - €2,541.76",No discount applied,Kona 6061 Aluminum frame,RockShox Pike RC 120mm forks,Bulk Tracked Courier Delivery:, Matte Black
Vitus 20Plus Kids Bike,€335.99,No discount applied,Light weight 6061 alloy frame and fork,Tektro Mechanical Disc Brakes,Bulk Tracked Courier Delivery:,Brushed Alloy
Vitus 20 Kids Bike,€257.99,No discount applied,Light weight 6061 alloy frame,Tektro V Brakes,Bulk Tracked Courier Delivery:,Choice of colours
Kiddimoto Stars Kurve Balance Bike,€87.99,Save 10%,"Wheel Size: 12"" (203)",No Feature 2,Bulk Tracked Courier Delivery:,Multicoloured
Vitus ZX1 Aero Disc Road Bike - 105,"€1,559.98",Save 35%,Aero optimised with Kammtail tube profiles,Integrated Aero fork,Bulk Tracked Courier Delivery:, Silver - Black - Gre
Cube Stereo Hybrid 140 HPA 27.5 SL 500 E-Bike (2017),"€4,759.00",Save 15%,"Frame: HPA Ultralight, Advanced Hydroform, Triple Butted, ETC 4-Link, ATG, Boost 148mm, Tuned Drive Position, AXH","Fork: Fox 34 Float FIT4 Factory, Open / Medium / Firm Mode, Open Mode Adjust, Tapered, 15QR, Kashima Coated, 140 mm",Bulk Tracked Courier Delivery:,Iridium
Vitus Mach 3 Urban Bike - Sora,€559.99,Save 20%,Versatile flat bar road bike,Shimano Sora groupset,Bulk Tracked Courier Delivery:, Blue - Orange
Cube Aim SL 29 Hardtail Mountain Bike,€454.80,Save 27%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:, Blue/Red
Vitus Venon CRW Disc Road Bike - 105 Black/Purple 54cm,"€1,319.98",Save 40%,Weight: 9.05kg (19.94lbs),"Frame: Carbon T700-HM UD, 142x12mm TA",Bulk Tracked Courier Delivery:, Black - Purple
GT Air (2019) Bike,€299.00,No discount applied,"Frame: GT FS Design, Hi-Ten Steel","Fork: GT FS Design, Hi-Ten Steel",Bulk Tracked Courier Delivery:,Trans Purple
Fuji Roubaix 1.3 Disc Road Bike (2018),"€1,118.99",Save 30%,"Frame: A6-SL super-butted 6066 aluminum, integrated 1 1/2"" lower head tube, PF30 shell, double water bottle mounts, oversized ETC chainstays, forged-road dropout w/ replaceable derailleur hanger",Fork: FC-440 carbon w/ tapered carbon steerer & alloy dropout,Bulk Tracked Courier Delivery:, Satin Black - Red
Vitus Nippy Balance Bike,€43.99,Save 12%,"Wheel Size: 12"" (203)",No Feature 2,Bulk Tracked Courier Delivery:,Choice of colours
Kona Process 111 DL (2016),"€2,499.00 - €3,195.55",No discount applied,Kona 6061 Aluminum frame,RockShox Pike RCT3 120mm forks,Bulk Tracked Courier Delivery:, Matte Navy
Vitus Energie CRX Cyclocross Bike (Force 1x11 -2019)   B,"€2,127.99",No discount applied,High Modulas Carbon Frame and Fork,Internal Cable Routing,Bulk Tracked Courier Delivery:, Black/Turquoise
Cinelli Experience Women's (Tiagra - 2017) Road Bike,€850.99,Save 34%,Columbus Airplane Alloy frame,Carbon fork with alloy steerer,Bulk Tracked Courier Delivery:,Gray
Felt Doctrine 4 (2018) XC Carbon Hardtail Bike,"€1,997.99",Save 25%,"Frame: Felt XC, UHC Performance Carbon Fibre, MMC with InsideOut construction, carbon dropouts, ControlTaper head tube, Kevlar chain watcher, replaceable hanger, flat mount disc mounts, BB92, 12x148mm Syntace style thru axle, internal cable routing","Fork: RockShox Reba RL 29 Solo Air, 100mm travel, OneLoc remote, 15 x 110mm Boost thru axle",Bulk Tracked Courier Delivery:, Matte Charcoal/Blue/
FE Singlespeed (2019) Bike,€699.99,No discount applied,Frame: Orro Fe Double Butted Steel with Reflective Decals,Fork: Orro Straightblade steel,Bulk Tracked Courier Delivery:, Black
PYRO Disc 105 Racing (2019) Bike,"€1,499.99",No discount applied,Frame: Orro Pyro Carbon Disc Brake Frame,Fork: Orro Superlight 2.0 Full Carbon Disc Brake,Bulk Tracked Courier Delivery:, Black/Red
Niner AIR 9 2-Star Hardtail Bike,"€2,249.00",Save 10%,Frame: Hydroformed Aluminium,"Fork: RockShox Reba RL Solo Air, 100mm, 110x15mm",Bulk Tracked Courier Delivery:, Black/Cyan
Felt FR3 Road Bike (Ultegra - 2017),"€1,919.99",Save 35%,Felt Race Road UHC Performance carbon fiber frame and fork,Shimano Ultegra 2x11 drivetrain,Bulk Tracked Courier Delivery:,Black/Orange
TERRA C 105 Hydro Racing (2019) Bike,"€2,399.99",No discount applied,Frame: Orro Terra C Carbon Frame with Innegra Impact Protection,Fork: Orro Terra C Full Carbon with Innegra Impact Protection,Bulk Tracked Courier Delivery:, Stealth
Icon BMX Bike,€241.99,Save 46%,"Frame: Blank 1020 Hi-Tensile Steel/CrMo downtube, removable brake hardware","Fork: Blank Compound 2, tapered",Bulk Tracked Courier Delivery:,Choice of colours
"Ghost Slamr 4.7 27.5"" Full Suspension Bike","€2,889.99",No discount applied,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:, Yellow/Black
Kona Process 134 DL (2017) Mountain Bike,"€2,158.80",Save 46%,Kona 6061 Aluminum Butted 134mm Travel frame,RockShox Pike RC 140mm forks,Bulk Tracked Courier Delivery:, Blue
"Ghost Kato 6.9 29"" Hardtail Bike",€762.99,Save 30%,Frame: Kato AL alloy,"Fork: SR Suntour Epixon-9 RLR DS 29 Air, 100mm travel",Bulk Tracked Courier Delivery:, Neon Green/Night Bla
GT Transeo Sport Easy Entry (2019) Bike,€399.00,No discount applied,"Frame: GT Transeo, Triple Triangle, 6061 series alloy",Forks: GT fork with steel raked legs,Bulk Tracked Courier Delivery:, Satin Black
Ghost Kato R1.0 Kids Bike,€283.99,Save 25%,Frame: Kato Kid AL Alloy,Fork: Ghost AL 20 Rigid,Bulk Tracked Courier Delivery:,Red Flat
Fuji Sportif 2.5 Road Bike,€457.99,Save 30%,"Frame: A2-SL Alloy tapered seatstays & chainstays with rack mount, forged-road dropout with 1 eyelet & replaceable derailleur hanger","Fork: Alloy integrated, 1 1/8"" Alloy steerer",Bulk Tracked Courier Delivery:, Red/Black
Eastway Emitter R1 (Ultegra Di2) Road Bike Black/Multi 58c,"€2,391.99",Save 31%,Full Carbon frame and tapered fork,Shimano Ultegra Di2 drivetrain,Bulk Tracked Courier Delivery:, Black/Claret/Royal
Vitus Energie Cyclocross Bike (Apex 1x11 -2019)   Green/,"€1,119.99",No discount applied,Frame: Hydroformed 6061-T6 triple butted alloy,Forks: High-modulus T700 HM-UD Full Carbon,Bulk Tracked Courier Delivery:, Green
GT Aggressor Comp (2019) Bike,€419.00,No discount applied,"Frame: 6061-T6 Alloy, Triple Triangle","Forks: SR Suntour XCT, 80mm, Coil",Bulk Tracked Courier Delivery:,Choice of colours
Ghost Hybrid Teru BX.9 Bike,"€2,092.99",Save 30%,Frame: Hybride Teru AL,"Fork: SR Suntour XCR 34 LOR, Travel: 120mm",Bulk Tracked Courier Delivery:,Night Black/Neon Gre
Felt F65X (2018) Cyclo Cross Bike,"€1,132.99",Save 19%,"Frame: Felt Cyclocross FLite Custom Butted 6061 aluminum, Dynaform TIG-welded construction, shoulder friendly top tube, BB386, replaceable rear derailleur hanger, internal cable routing, rack mounts","Fork: Felt Cyclocross UHC Advanced Carbon Fibre blades with mudguard mounts, ControlTaper 1.125""-1.5"" alloy steerer, post mount disc tabs",Bulk Tracked Courier Delivery:, Matte Black/Gloss Ch
GT Transeo Elite Hybrid Step Thru Sports Bike,€441.99,Save 20%,"Frame: GT Transeo Triple Triangle 6061 series alloy, smooth-welded, and hydroformed (TT,DT), forged drop-outs, chainstay disc mounts","Fork: SR Suntour NVX-DS HLO 75mm travel, pre-load adjust, Hydraulic Lockout, disc specific, fender mounts",Bulk Tracked Courier Delivery:,Silver
Niner AIR 9 RDO 1-Star Hardtail Bike,"€2,429.00",Save 10%,Frame: RDO Carbon Compaction,"Fork: Rockshox Reba RL Solo Air, 100mm, 110x15mm",Bulk Tracked Courier Delivery:, Orange
Cube SL Road Pro Touring Road Bike,€699.00,Save 21%,No Feature 1,No Feature 2,Bulk Tracked Courier Delivery:,Black/Red
PYRO 105 Racing (2019) Bike,"€1,599.99",No discount applied,Frame: Orro Pyro Carbon Frame,Fork: Orro Superlight 2.0 Full Carbon,Bulk Tracked Courier Delivery:, Red/White
Kona Rove (2018) Road Bike  Black 56cm Stock Bike,€599.00,Save 25%,Frame: 6061 Aluminum,"Forks: 	Kona Project Two Aluminum, Disc",Bulk Tracked Courier Delivery:,Black
Fuji SL 3.3 Road Bike,"€1,373.99",Save 30%,"Frame: C5 carbon frame, integrated head tube with 1 1/2"" lower, PF30 BB, double bottle mounts, oversized chainstays, carbon dropouts with replaceable hanger",Fork: FC-440 carbon with tapered carbon steerer,Bulk Tracked Courier Delivery:, Gloss Blue
Blank Ammo BMX BIke,€202.99 - €233.99,No discount applied,Frame: Blank 1020 Hi-Tensile Steel,"Fork: Blank Compound, tapered",Bulk Tracked Courier Delivery:,Choice of colours
Cinelli Vigorelli Aluminum Bike,€959.99,Save 15%,Frame: Columbus Airplane Triple Butted Alloy,"Fork: Columbus Pista Leggera Carbon, tapered alloy steerer",Bulk Tracked Courier Delivery:,White Team
Vitus Venon CRX Disc Road Bike - Ultegra,"€1,772.99",Save 31%,"Frame: Carbon T700-HM UD, 142x12mm TA","Fork: Full Carbon, 100x12mm TA",Bulk Tracked Courier Delivery:, Black - Blue
"Ruption Friction BMX Bike (2019) Copper 20""",€360.00,No discount applied,"Frame: Ruption Tri-Moly with 20.75"" top tube",Forks: Ruption tapered 1020 hi-ten with 4130 chromoly steerer,Bulk Tracked Courier Delivery:,Choice of colours
Vitus Sommet CRX FS Bike - Carbon Sram X1 1x11,"€3,346.99",Save 30%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:,Choice of colours
Colnago A1-R 105 Road Bike,"€1,454.99",Save 25%,Frame: Colnago A1-R,Fork: Colnago Street,Bulk Tracked Courier Delivery:, Black-Red-Green
Cube Cross Race C:62 Pro Mountain Bike 2018,"€2,069.00",Save 15%,Fork Material: Carbon,Steerer: Tapered 1 1/8 - 1 1/2,Bulk Tracked Courier Delivery:,Gray/Orange
GT Team Comp (2019) Bike,€499.00,No discount applied,"Frame: GT FS Design, Cr-Mo Front Triangle and chainstays","Fork: GT FS Design, CrMo 1-piece",Bulk Tracked Courier Delivery:,Choice of colours
Blank Ammo BMX Bike (2019),€360.00,Save 4%,Frame: Blank 1020 Hi-Tensile Steel,"Forks: Blank Compound, 20"", tapered, 30mm offset",Bulk Tracked Courier Delivery:,Choice of colours
Kiddimoto Super Junior Max Stars Balance Bike,€110.99,Save 9%,"Wheel Size: 12"" (203)",No Feature 2,Bulk Tracked Courier Delivery:,Multicoloured
Access WS Pro Bike,€538.99,No discount applied,MTB: Yes,No Feature 2,Bulk Tracked Courier Delivery:,Mint/Raspberry
GT Performer Jr (2019) Bike,€279.00,No discount applied,"Frame: GT FS Design, Hi-Ten Steel","Fork: GT FS Design, Hi-Ten Steel",Bulk Tracked Courier Delivery:,Choice of colours
"Ghost Slamr 6.9 29"" Full Suspension Bike","€2,691.99",Save 25%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:,Smoke Grey/Night Bla
"Ghost Lanao 4.9 29"" Ladies Hardtail Bike",€593.99,Save 30%,"Wheel Size: 29"" (622)",No Feature 2,Bulk Tracked Courier Delivery:,Star White/Iridium S
GT Avalanche Sport (2019) Bike,€499.00,No discount applied,"Frame: 6061 T6 Alloy, Triple Triangle design",Forks: SR Suntour XCT-DS,Bulk Tracked Courier Delivery:,Choice of colours
Cube Reaction C:62 SL 27.5 Hardtail Mountain Bike,"€1,899.00",Save 24%,"Frame: C:62 Monocoque Advanced Twin Mold Technology, ARG2, Tapered Headtube, PressFit Boost BB, Integrated Cable Routing, Boost148, Dropper Post Ready","Fork: Fox 32 Float SC FIT4, 2-Position Remote Lever, Tapered, 15x110mm, 100mm",Bulk Tracked Courier Delivery:, Gray/Blue
GT Grade Carbon Elite (2019) Bike,"€1,899.00",No discount applied,Frame: GT EnduRoad carbon frame,Fork: Grade Full Carbon,Bulk Tracked Courier Delivery:, Satin Black & Wine
Cube Reaction C:62 Pro 27.5 Hardtail Mountain Bike,"€1,499.00",Save 16%,MTB: Yes,No Feature 2,Bulk Tracked Courier Delivery:,Carbon/Red
Vitus Energie CR Cyclocross Bike (Rival 1x11 -2019)   Gr,"€1,903.99",No discount applied,High Modulas Carbon Frame and Fork,Internal Cable Routing,Bulk Tracked Courier Delivery:, Turquoise
"GT Stomper Ace 20"" (2019) Bike",€339.00,No discount applied,"Frame: Alloy, GT LegitFit Design","Forks: GT Rigid, Hi-Ten Steel",Bulk Tracked Courier Delivery:,Gloss Chartreuse
De Rosa King XS (Chorus - 2018) Road Bike,"€4,435.99",Save 25%,"Frame: TI1000, TI 800 and XN10 Carbon Fibre",Fork: De Rosa King XS,Bulk Tracked Courier Delivery:, Gray
Stolen Sinner FC BMX Bike,€703.60,No discount applied,"Frame: 100% 4130 CrMo Frame, Removable Brake Mounts, S-Bend Chainstays for Bigger Tyres","Fork: 100% 4130 CrMo, tapered Legs, one-piece Steerer, compressor topcap, 28mm offset",Bulk Tracked Courier Delivery:, Trans Grey
Fuji Nevada 27.5 1.9 Hardtail Bike,€367.99,Save 25%,Frame: Fuji A2-SL custom-butted,Fork: SR Suntour SF14-3030 27.5 w/ 75mm travel,Bulk Tracked Courier Delivery:, Sport White
GT Force AL Comp (2019) Bike,"€2,499.00",No discount applied,"Frame: All New Force Alloy, 150mm rear wheel travel, alloy front and rear frame, Boost 148 rear spacing, ISCG05 mounts, LockR pivots, Metric Trunnion shock mounts, coil shock compatible","Fork: RockShox Revelation RC, 160mm, Charger Damper, DebonAir, 15x110, tapered steerer",Bulk Tracked Courier Delivery:, Gloss Deep Red
GT Aggressor Expert (2019) Bike,€449.00,No discount applied,Frame: 6061-T6 Aluminium Triple Triangle™ design,"Forks: SR Suntour XCM-DS, Travel: 80mm",Bulk Tracked Courier Delivery:,Choice of colours
De Rosa SK Disc (Ultegra - 2018) Road Bike,"€3,880.99",Save 22%,"Frame: 24T, 30T, 40T, and 60T Carbon Fibre",Fork: De Rosa SK,Bulk Tracked Courier Delivery:,Black/Orange
GT Avalanche Comp (2019) Bike,€599.00,No discount applied,"Frame: 6061 T6 Alloy, Triple Triangle","Forks: SR Suntour XCM-DS, Travel: 100mm",Bulk Tracked Courier Delivery:, Gloss Red
Ruption Newboy BMX Bike (2019),€155.98,Save 30%,"Frame: Ruption 1020 Hi-Ten with 18"" Top Tube",Forks: Ruption 1020 Hi-Ten,Bulk Tracked Courier Delivery:,Choice of colours
Cube Sting WS 120 PRO Bike,"€1,799.00",No discount applied,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:,Iridium/Berry
GT Avalanche Elite (2019) Bike,€729.00,No discount applied,Frame: 6061 T6 Triple Triangle Alloy,"Forks: SR Suntour XCR32 RLR, Travel: 100mm",Bulk Tracked Courier Delivery:, Gloss Black
Cube Kathmandu PRO Trapeze Urban Bike (2018),"€1,104.00",Save 15%,Frame: Aluminium Superlite Trekking Comfort IC 2.0 Double Butted,Frame Design: Trapeze Women's model with dropped top-tube for ease of access.,Bulk Tracked Courier Delivery:,Iridium - Blue
Fuji Addy 27.5 1.3 Hardtail Bike (2018),€636.99,Save 24%,Frame: Fuji A2-SL custom-butted alloy,"Forks: SR Suntour SF15-XCM-RL-DS-27.5 w/ remote lockout, 100mm travel",Bulk Tracked Courier Delivery:, Fuschia
Felt Doctrine 5 (2018) XC Carbon Hardtail Bike,"€1,401.99",Save 25%,"Frame: Felt XC, UHC Performance carbon fibre, MMC with InsideOut construction, carbon dropouts, ControlTaper head tube, Kevlar chain watcher, replaceable hanger, flat mount disc mounts, BB92, 12x148mm Syntace style thru axle","Fork: RockShox Recon RL Solo Air, 100mm travel, OneLoc remote, 15x110mm Boost thru axle",Bulk Tracked Courier Delivery:, Matte Marlin Blue
"Ghost Framr 6.7 27.5"" Full Suspension Bike","€3,819.99",No discount applied,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:, Monarch Orange/Night
Vitus Venon Disc Road Bike - Tiagra,"€1,019.98 - €1,049.99",No discount applied,"Frame: Carbon T700-HM UD, 142x12mm TA","Fork: Carbon, 100x12mm TA",Bulk Tracked Courier Delivery:, Black - Red
Cube Stereo Hybrid 140 Race 500 E-Bike (2018),"€3,144.00",Save 15%,"Frame: HPA Ultralight, Advanced Hydroform, Triple Butted, ETC 4-Link, ATG, Boost 148, Tuned Drive Position, AXH","Fork and Shock: Fox 34 Rhythm, 2-Position Sweep-Adjust GRIP Damper, Tapered, 15x110mm, 140mm; Fox Float DPS EVOL, 190x50mm, Open/Medium/Firm Mode",Bulk Tracked Courier Delivery:,Choice of colours
Ghost Hybrid Teru B7.7+ Hardtail Bike,"€2,499.99",Save 63%,Frame: Hybride Teru AL Alloy,"Fork: RockShox Yari RC Debon Air, Travel: 120mm",Bulk Tracked Courier Delivery:, Night Black/Neon Red
Cube Axial WS,€538.80,Save 28%,Fork Material: Carbon,Steerer: Tapered 1 1/8 - 1 1/2,Bulk Tracked Courier Delivery:,Aqua/Blue
Fuji Nevada 29 1.1 Hardtail Bike (2018),€748.99,Save 25%,"Frame: Fuji A2-SL custom-butted alloy front triangle w/ PowerCurve down tube, Fuji A1-SL alloy rear triangle, post disc mount, cold-forged dropout and replaceable hanger","Fork: RockShox XC30 TK 29, 100mm travel",Bulk Tracked Courier Delivery:,Choice of colours
Cube Hanzz 190 Race 27.5 Suspension Bike,"€1,999.00 - €2,069.00",No discount applied,MTB: Yes,No Feature 2,Bulk Tracked Courier Delivery:, Red/Lime
Niner RLT 9 2-Star Apex 1 Gravel Bike,"€2,069.00",Save 10%,Frame: Hydroformed Aluminium,"Fork: Niner Full Carbon RDO Fork with rack mounts, 15mm",Bulk Tracked Courier Delivery:, Forge/Teal/Orange
GT Team (2019) Bike,€399.00,No discount applied,"Frame: GT FS Design, CrMo Top tube, Downtube, and Seat tube","Forks: GT FS Design, CrMo 2-piece",Bulk Tracked Courier Delivery:,Choice of colours
GT Sensor AL Comp (2019) Bike,"€2,399.00",No discount applied,"Frame: Sensor Alloy, 130mm rear travel",Forks: RockShox Sektor RL DebonAir,Bulk Tracked Courier Delivery:, Gloss Moss Green
Vitus Vitesse Evo Team Road Bike - Dura Ace,"€3,299.99",Save 25%,Weight: 7.14 Kg / 15.74 lbs,Frame: Carbon T700-HM UD,Bulk Tracked Courier Delivery:, Black - Red
Vitus Mach 3 Urban Bike - Tourney,€383.99,Save 20%,Hydro formed 6061 Aluminium hybrid frame,Comfort seat stays,Bulk Tracked Courier Delivery:, Teal - Blue
Fuji Nevada 29 2.0 Hardtail Bike (2018),€599.98,Save 33%,Frame: Fuji A2-SL custom-butted alloy,"Fork: SR Suntour SF15-XCM-RL-DS-29 w/ remote lockout, 100mm travel",Bulk Tracked Courier Delivery:, Satin Orange
Kiddimoto Union Jack Kurve Balance Bike,€87.99,Save 10%,"Wheel Size: 12"" (203)",No Feature 2,Bulk Tracked Courier Delivery:,"Red, White & Blue"
Cube Town Hybrid Sport PRO 400 Trapeze E-Bike (2018),"€2,124.00",Save 15%,"Frame: Aluminium Superlite, Trekking Premium Comfort, IC 2.0, Double Butted","Fork: SR Suntour NCX D LO Air, 50mm, Lockout",Bulk Tracked Courier Delivery:,Grey - Copper
Cube Axial WS GTC Pro,"€1,078.80",Save 32%,Fork Material: Carbon,Steerer: Tapered 1 1/8 - 1 1/2,Bulk Tracked Courier Delivery:,Black/Red
Vitus Razor VRX Road Bike,€639.99,Save 20%,Weight: 9.9kg,"Frame: AL6061 Alloy, 130mm QR",Bulk Tracked Courier Delivery:, Black - Red
Cube Agree C:62 Pro Road Bike,"€1,999.00",Save 13%,Fork Material: Carbon,Steerer: Tapered 1 1/8 - 1 1/2,Bulk Tracked Courier Delivery:,Carbon/Blue
"Ghost Lector 7.9 29"" Hardtail Bike","€2,905.99",Save 29%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:, Spectra Yellow/Night
GT Aggressor Sport (2019) Bike,€399.00,No discount applied,Frame: 6061-T6 Aluminium Triple Triangle,"Forks: SR Suntour M3030 , Travel: 80mm",Bulk Tracked Courier Delivery:,Choice of colours
Cell BMX Bike,€216.99,Save 48%,Frame: Blank 1020 Hi-Tensile Steel,"Fork: Blank Compound, tapered",Bulk Tracked Courier Delivery:,Choice of colours
Cube Reaction C:62 27.5 Hardtail Mountain Bike,"€1,274.00",Save 17%,MTB: Yes,No Feature 2,Bulk Tracked Courier Delivery:,Carbon/White
GT Mach One Pro (2019) Bike,€339.00,No discount applied,"Frame: GT Mach One Race, 6061-T6 AL, Euro BB, Reverse Dropouts, 1-1/8"" Integrated H/T","Forks: GT BMX design, 1-1/8"" Steerer x 31.8mm blades, Hi-Ten Blades",Bulk Tracked Courier Delivery:,Electric Blue
Cube Nuroad Road Bike,€899.00,Save 10%,Road: Yes,No Feature 2,Bulk Tracked Courier Delivery:,Black/Red
Fuji Addy 27.5 1.7 Hardtail Bike (2018),€448.99,Save 25%,Frame: Fuji A2-SL custom-butted alloy,"Forks: SR Suntour SF16-XCT-HLO-DS-27.5 w/ hydraulic lockout, 100mm travel",Bulk Tracked Courier Delivery:, Purple Night
"Ghost Kato 2.7 27.5"" Hardtail Bike",€478.99,Save 23%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:,Neon Yellow/Night Bl
Felt VR3W Womens Road Bike(Ultegra - 2017),"€1,871.98",Save 39%,All new frame design,Shimano Ultegra drivetrain,Bulk Tracked Courier Delivery:,Black/Blue
Cube  Aim Pro 29 Hardtail Mountain Bike,€399.00,Save 25%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:,Choice of colours
Kona Honzo AL/DL (2018) Mountain Bike,"€1,874.00",Save 25%,Frame: 6061 butted Alloy,"Forks: RockShox Revelation RC Solo Air, Travel: 120mm",Bulk Tracked Courier Delivery:, Matt Midnight Blue
Vitus Vitesse Evo CR Road Bike - Ultegra,"€1,749.99",Save 36%,Weight: 7.6kg,High Modulus T700 carbon frameset,Bulk Tracked Courier Delivery:, Green - Black
Cube Kid 200 Mountain Bike,€215.98,Save 30%,No Feature 1,No Feature 2,Bulk Tracked Courier Delivery:,Choice of colours
